Name,year,selling_price,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,torque,seats,ID
"Ambassador Classic 2000 DSZ AC PS",1994,99000,100000,Diesel,Individual,Manual,"Second Owner","12.8 kmpl","1995 CC","52 bhp","106Nm@ 2200rpm",5,1
"Maruti 800 AC",1994,45000,60000,Petrol,Individual,Manual,"First Owner","16.1 kmpl","796 CC","37 bhp","59Nm@ 2500rpm",4,2
"Maruti 800 Std",1995,55000,70000,Petrol,Individual,Manual,"First Owner","16.1 kmpl","796 CC","37 bhp","59Nm@ 2500rpm",4,3
"Maruti 800 AC",1996,42000,70000,Petrol,Individual,Manual,"Third Owner","16.1 kmpl","796 CC","37 bhp","59Nm@ 2500rpm",4,4
"Maruti 800 DX",1996,40000,32000,Petrol,Individual,Manual,"Second Owner","16.1 kmpl","796 CC","37 bhp","59Nm@ 2500rpm",4,5
"Maruti 800 AC",1997,50000,120000,Petrol,Individual,Manual,"Second Owner","16.1 kmpl","796 CC","37 bhp","59Nm@ 2500rpm",4,6
"Maruti 800 AC",1997,50000,60000,Petrol,Individual,Manual,"Second Owner","16.1 kmpl","796 CC","37 bhp","59Nm@ 2500rpm",4,7
"Maruti 800 AC",1997,40000,120000,Petrol,Individual,Manual,"First Owner","16.1 kmpl","796 CC","37 bhp","59Nm@ 2500rpm",4,8
"Maruti 800 AC",1997,29999,80000,Petrol,Individual,Manual,"Third Owner","16.1 kmpl","796 CC","37 bhp","59Nm@ 2500rpm",4,9
"Maruti 800 DX",1997,60000,25000,Petrol,Individual,Manual,"Third Owner","16.1 kmpl","796 CC","37 bhp","59Nm@ 2500rpm",4,10
"Maruti 800 Std",1997,50000,110000,Petrol,Individual,Manual,"Second Owner","16.1 kmpl","796 CC","37 bhp","59Nm@ 2500rpm",4,11
"Maruti Esteem AX",1997,125000,94000,Petrol,Individual,Automatic,"Fourth & Above Owner","15.9 kmpl","1298 CC","85 bhp","110Nm@ 4500rpm",5,12
"Maruti Gypsy King Soft Top",1997,300000,186388,Petrol,Individual,Manual,"Second Owner","14.8 kmpl","1298 CC","80 bhp","103Nm@ 4500rpm",8,13
"Maruti Zen LXI",1997,70000,100000,Petrol,Individual,Manual,"Second Owner","17.3 kmpl","993 CC","60 bhp","78Nm@ 4500rpm",5,14
"Maruti 800 AC",1998,40000,70000,Petrol,Individual,Manual,"Second Owner","16.1 kmpl","796 CC","37 bhp","59Nm@ 2500rpm",4,15
"Maruti 800 AC",1998,35000,40000,Petrol,Individual,Manual,"Second Owner","16.1 kmpl","796 CC","37 bhp","59Nm@ 2500rpm",4,16
"Maruti 800 DX",1998,45000,80000,Petrol,Individual,Manual,"Fourth & Above Owner","16.1 kmpl","796 CC","37 bhp","59Nm@ 2500rpm",4,17
"Maruti 800 DX",1998,70000,100000,Petrol,Individual,Manual,"Second Owner","16.1 kmpl","796 CC","37 bhp","59Nm@ 2500rpm",4,18
"Maruti Omni 5 Str STD",1998,80000,70000,Petrol,Individual,Manual,"First Owner","14.0 kmpl","796 CC","35 bhp","6.1kgm@ 3000rpm",5,19
"Maruti Zen Classic",1998,58000,80000,Petrol,Individual,Manual,"Third Owner","17.3 kmpl","993 CC","60 bhp","78Nm@ 4500rpm",5,20
"Maruti Zen LX BSII",1998,70000,40000,Petrol,Individual,Manual,"Second Owner","17.3 kmpl","993 CC","60 bhp","78Nm@ 4500rpm",5,21
"Maruti Zen VXI",1998,55000,50000,Petrol,Individual,Manual,"Second Owner","17.3 kmpl","993 CC","60 bhp","78Nm@ 4500rpm",5,22
"Opel Astra 1.6",1998,68000,110000,Petrol,Individual,Manual,"Third Owner","13.1 kmpl","1598 CC","77 bhp","121Nm@ 2800rpm",5,23
"Maruti 800 AC",1999,80000,80000,Petrol,Individual,Manual,"Third Owner","16.1 kmpl","796 CC","37 bhp","59Nm@ 2500rpm",4,24
"Maruti 800 AC",1999,55000,60000,Petrol,Individual,Manual,"Second Owner","16.1 kmpl","796 CC","37 bhp","59Nm@ 2500rpm",4,25
"Maruti 800 AC",1999,40000,100000,Petrol,Individual,Manual,"Third Owner","16.1 kmpl","796 CC","37 bhp","59Nm@ 2500rpm",4,26
"Maruti 800 AC",1999,80000,26320,Petrol,Individual,Manual,"First Owner","16.1 kmpl","796 CC","37 bhp","59Nm@ 2500rpm",4,27
"Maruti 800 DX",1999,52000,100000,Petrol,Individual,Manual,"First Owner","16.1 kmpl","796 CC","37 bhp","59Nm@ 2500rpm",4,28
"Maruti 800 DX",1999,40000,50000,Petrol,Individual,Manual,"Second Owner","16.1 kmpl","796 CC","37 bhp","59Nm@ 2500rpm",4,29
"Maruti 800 Std",1999,40000,40000,Petrol,Individual,Manual,"Second Owner","16.1 kmpl","796 CC","37 bhp","59Nm@ 2500rpm",4,30
"Maruti Esteem LX - BSIII",1999,70000,70000,Petrol,Individual,Manual,"Fourth & Above Owner","15.9 kmpl","1298 CC","85 bhp","110Nm@ 4500rpm",5,31
"Maruti Esteem LX - BSIII",1999,70000,65000,Petrol,Individual,Manual,"Fourth & Above Owner","15.9 kmpl","1298 CC","85 bhp","110Nm@ 4500rpm",5,32
"Maruti Zen LX",1999,50000,60000,Petrol,Individual,Manual,"Fourth & Above Owner","17.3 kmpl","993 CC","60 bhp","78Nm@ 4500rpm",5,33
"Maruti Zen Std",1999,45000,100000,Petrol,Individual,Manual,"Third Owner","17.3 kmpl","993 CC","60 bhp","78Nm@ 4500rpm",5,34
"Mitsubishi Lancer 2.0 GLd",1999,150000,198000,Diesel,Individual,Manual,"Second Owner","14.8 kmpl","1998 CC","68 bhp","12.5@ 3,000(kgm@ rpm)",5,35
"Mitsubishi Lancer 2.0 GLd",1999,150000,198000,Diesel,Individual,Manual,"Second Owner","14.8 kmpl","1998 CC","68 bhp","12.5@ 3,000(kgm@ rpm)",5,36
"Mitsubishi Lancer 2.0 LXd",1999,155000,100000,Diesel,Individual,Manual,"Third Owner","14.8 kmpl","1998 CC","68 bhp","12.5@ 3,000(kgm@ rpm)",5,37
"Ambassador CLASSIC 1500 DSL AC",2000,75000,90000,Diesel,Individual,Manual,"Second Owner","12.8 kmpl","1489 CC","35.5 bhp","72.9Nm@ 2250rpm",5,38
"Daewoo Matiz SD",2000,100000,60000,Petrol,Individual,Manual,"First Owner","18.5 kmpl","796 CC","53 bhp","71Nm@ 3500rpm",5,39
"Daewoo Matiz SS",2000,86000,46951,Petrol,Individual,Manual,"First Owner","18.5 kmpl","796 CC","53 bhp","71Nm@ 3500rpm",5,40
"Maruti 800 AC",2000,65000,100000,Petrol,Individual,Manual,"Third Owner","16.1 kmpl","796 CC","37 bhp","59Nm@ 2500rpm",4,41
"Maruti 800 AC",2000,60000,100000,Petrol,Individual,Manual,"Second Owner","16.1 kmpl","796 CC","37 bhp","59Nm@ 2500rpm",4,42
"Maruti 800 AC",2000,45000,50000,Petrol,Individual,Manual,"Second Owner","16.1 kmpl","796 CC","37 bhp","59Nm@ 2500rpm",4,43
"Maruti 800 AC",2000,80000,70000,Petrol,Individual,Manual,"Fourth & Above Owner","16.1 kmpl","796 CC","37 bhp","59Nm@ 2500rpm",4,44
"Maruti 800 Std",2000,31000,56194,Petrol,Individual,Manual,"Fourth & Above Owner","16.1 kmpl","796 CC","37 bhp","59Nm@ 2500rpm",4,45
"Maruti Alto LX",2000,45957,90000,Petrol,Individual,Manual,"Second Owner","19.7 kmpl","796 CC","46.3 bhp","62Nm@ 3000rpm",5,46
"Maruti Alto LX",2000,45957,90000,Petrol,Individual,Manual,"Second Owner","19.7 kmpl","796 CC","46.3 bhp","62Nm@ 3000rpm",5,47
"Maruti Alto LX",2000,108000,206000,Petrol,Individual,Manual,"Fourth & Above Owner","19.7 kmpl","796 CC","46.3 bhp","62Nm@ 3000rpm",5,48
"Maruti Omni CNG",2000,80000,100000,CNG,Individual,Manual,"Second Owner","10.9 km/kg","796 CC",bhp,,8,49
"Maruti Zen LX",2000,110000,70000,Petrol,Individual,Manual,"Fourth & Above Owner","17.3 kmpl","993 CC","60 bhp","78Nm@ 4500rpm",5,50
"Maruti Zen LXI",2000,50000,180000,Petrol,Individual,Manual,"Fourth & Above Owner","17.3 kmpl","993 CC","60 bhp","78Nm@ 4500rpm",5,51
"Mitsubishi Lancer 2.0 LXd",2000,150000,280000,Diesel,Individual,Manual,"Second Owner","14.8 kmpl","1998 CC","68 bhp","12.5@ 3,000(kgm@ rpm)",5,52
"Tata Sumo SE Plus BSII",2000,95000,120000,Diesel,Individual,Manual,"Fourth & Above Owner","12.2 kmpl","1948 CC","68 bhp","12@ 2500(kgm@ rpm)",10,53
"Daewoo Matiz SD",2001,45000,137000,Petrol,Individual,Manual,"First Owner","18.5 kmpl","796 CC","53 bhp","71Nm@ 3500rpm",5,54
"Maruti 800 DX 5 Speed",2001,75000,35000,Petrol,Individual,Manual,"Third Owner","16.1 kmpl","796 CC","37 bhp","59Nm@ 2500rpm",4,55
"Maruti 800 DX BSII",2001,45000,5000,Petrol,Individual,Manual,"Second Owner","16.1 kmpl","796 CC","37 bhp","59Nm@ 2500rpm",4,56
"Maruti 800 Std",2001,39000,42108,Petrol,Individual,Manual,"First Owner","16.1 kmpl","796 CC","37 bhp","59Nm@ 2500rpm",4,57
"Maruti 800 Std",2001,45000,60000,Petrol,Individual,Manual,"Second Owner","16.1 kmpl","796 CC","37 bhp","59Nm@ 2500rpm",4,58
"Maruti Zen LXI",2001,30000,10000,Petrol,Individual,Manual,"First Owner","17.3 kmpl","993 CC","60 bhp","78Nm@ 4500rpm",5,59
"Honda City 1.5 EXI",2002,81000,161000,Petrol,Individual,Manual,"Fourth & Above Owner","13.0 kmpl","1493 CC","100 bhp","13.1kgm@ 4600rpm",5,60
"Hyundai Accent GLS",2002,55000,120000,Petrol,Individual,Manual,"Fourth & Above Owner","13.2 kmpl","1495 CC","94 bhp","12.5@ 3,500(kgm@ rpm)",5,61
"Maruti 800 AC",2002,45000,70000,Petrol,Individual,Manual,"Second Owner","16.1 kmpl","796 CC","37 bhp","59Nm@ 2500rpm",4,62
"Maruti 800 AC",2002,60000,52365,Petrol,Dealer,Manual,"Second Owner","16.1 kmpl","796 CC","37 bhp","59Nm@ 2500rpm",4,63
"Maruti 800 AC BSIII",2002,120000,120000,Petrol,Individual,Manual,"First Owner","16.1 kmpl","796 CC","37 bhp","59Nm@ 2500rpm",4,64
"Maruti 800 Std",2002,50000,62000,Petrol,Individual,Manual,"First Owner","16.1 kmpl","796 CC","37 bhp","59Nm@ 2500rpm",4,65
"Maruti 800 Std",2002,40000,80000,Petrol,Individual,Manual,"Third Owner","16.1 kmpl","796 CC","37 bhp","59Nm@ 2500rpm",4,66
"Maruti 800 Std BSIII",2002,40000,80000,Petrol,Individual,Manual,"First Owner","16.1 kmpl","796 CC","37 bhp","59Nm@ 2500rpm",4,67
"Maruti Alto LX",2002,150000,80000,Petrol,Individual,Manual,"Second Owner","19.7 kmpl","796 CC","46.3 bhp","62Nm@ 3000rpm",5,68
"Maruti Alto LXI",2002,140000,50000,Petrol,Individual,Manual,"Second Owner","19.7 kmpl","796 CC","46.3 bhp","62Nm@ 3000rpm",5,69
"Maruti Gypsy King Soft Top MPI BSIV",2002,350000,60000,Petrol,Individual,Manual,"First Owner","11.96 kmpl","1298 CC","80 bhp","103Nm@ 4500rpm",8,70
"Maruti Wagon R VXI",2002,140000,80000,Petrol,Individual,Manual,"Second Owner","18.9 kmpl","998 CC","67.1 bhp","90Nm@ 3500rpm",5,71
"Maruti Zen Base",2002,65000,80000,Petrol,Individual,Manual,"Second Owner","17.3 kmpl","993 CC","60 bhp","78Nm@ 4500rpm",5,72
"Maruti Zen D",2002,120000,60000,Diesel,Individual,Manual,"Second Owner","20.8 kmpl","1527 CC","58 bhp","789Nm@ 2250rpm",5,73
"Maruti Zen LX",2002,75000,30000,Petrol,Individual,Manual,"Third Owner","17.3 kmpl","993 CC","60 bhp","78Nm@ 4500rpm",5,74
"Maruti Zen LXI",2002,55000,100000,Petrol,Individual,Manual,"Second Owner","17.3 kmpl","993 CC","60 bhp","78Nm@ 4500rpm",5,75
"Maruti Zen LXI",2002,60000,100000,Petrol,Individual,Manual,"Fourth & Above Owner","17.3 kmpl","993 CC","60 bhp","78Nm@ 4500rpm",5,76
"Tata Sumo SE",2002,96000,120000,Diesel,Individual,Manual,"First Owner","14.07 kmpl","2956 CC","83.1 bhp","250Nm@ 1600-2000rpm",7,77
"Toyota Qualis FS B3",2002,229999,290000,Diesel,Individual,Manual,"First Owner","13.1 kmpl","2446 CC","75 bhp","151Nm@ 2400rpm",10,78
"Ford Ikon 1.3 CLXi",2003,110000,83000,Petrol,Individual,Manual,"Second Owner","13.8 kmpl","1299 CC","70 bhp","10.7@ 2,500(kgm@ rpm)",5,79
"Ford Ikon 1.6 EXi NXt",2003,150000,40000,Petrol,Individual,Manual,"Third Owner","14.2 kmpl","1597 CC","92 bhp","130@ 2500(kgm@ rpm)",5,80
"Ford Ikon 1.6 Really Sport",2003,130000,80000,Petrol,Individual,Manual,"Third Owner","14.2 kmpl","1597 CC","92 bhp","130@ 2500(kgm@ rpm)",5,81
"Hyundai Accent DLS",2003,108000,200000,Diesel,Individual,Manual,"Second Owner","13.1 kmpl","1493 CC","82 bhp","187Nm@ 2500rpm",5,82
